ticker,start_date,end_date,period_months,cumulative_return,sp500_return,abnormal_return,sue,surprise,reported_eps,eps_estimate
CVNA,5/2/24,7/2/24,2,0.0482,0.0772,-0.0291,3.0878,0.97,0.23,-0.74
CVNA,5/2/24,8/2/24,3,0.1276,0.0456,0.082,3.0878,0.97,0.23,-0.74
CVNA,2/23/24,3/23/24,1,0.2298,0.0333,0.1965,-0.3502,-0.11,-1,-0.89
CVNA,2/23/24,4/23/24,2,0.0821,0.0024,0.0797,-0.3502,-0.11,-1,-0.89
CVNA,2/23/24,5/23/24,3,0.5728,0.0427,0.5301,-0.3502,-0.11,-1,-0.89
CVNA,11/3/23,12/3/23,1,0.0593,0.0537,0.0056,1.0505,0.33,-0.46,-0.79
CVNA,11/3/23,1/3/24,2,0.4051,0.0803,0.3247,1.0505,0.33,-0.46,-0.79
CVNA,11/3/23,2/3/24,3,0.3076,0.1392,0.1683,1.0505,0.33,-0.46,-0.79
CVNA,7/20/23,8/20/23,1,-0.1405,-0.0347,-0.1058,1.91,0.6,-0.55,-1.15
CVNA,7/20/23,9/20/23,2,-0.0419,-0.0265,-0.0153,1.91,0.6,-0.55,-1.15
CVNA,7/20/23,10/20/23,3,-0.3189,-0.0652,-0.2537,1.91,0.6,-0.55,-1.15
CVNA,5/5/23,6/5/23,1,0.3274,0.0348,0.2926,1.5598,0.49,-1.51,-2
CVNA,5/5/23,7/5/23,2,1.2876,0.0776,1.21,1.5598,0.49,-1.51,-2
CVNA,5/5/23,8/5/23,3,3.0212,0.0866,2.9347,1.5598,0.49,-1.51,-2
SMCI,2/26/25,3/26/25,1,-0.1376,-0.0252,-0.1124,-0.0442,-0.04,0.6,0.64
SMCI,2/26/25,4/26/25,2,-0.1839,-0.0383,-0.1457,-0.0442,-0.04,0.6,0.64
SMCI,2/26/25,5/26/25,3,-0.1839,-0.0383,-0.1457,-0.0442,-0.04,0.6,0.64
SMCI,8/7/24,9/7/24,1,-0.2421,0.0183,-0.2604,-2.0108,-1.82,6.25,8.07
SMCI,8/7/24,10/7/24,2,-0.0638,0.0733,-0.1371,-2.0108,-1.82,6.25,8.07
SMCI,8/7/24,11/7/24,3,-0.5003,0.1259,-0.6262,-2.0108,-1.82,6.25,8.07
SMCI,5/1/24,6/1/24,1,0.0288,0.0442,-0.0154,0.9612,0.87,6.65,5.78
SMCI,5/1/24,7/1/24,2,0.0653,0.0833,-0.018,0.9612,0.87,6.65,5.78
SMCI,5/1/24,8/1/24,3,-0.1184,0.0787,-0.1971,0.9612,0.87,6.65,5.78
SMCI,1/30/24,2/29/24,1,0.6354,0.0522,0.5832,0.7292,0.66,5.59,4.93
SMCI,1/30/24,3/30/24,2,0.9071,0.0866,0.8205,0.7292,0.66,5.59,4.93
SMCI,1/30/24,4/30/24,3,0.6216,0.0428,0.5788,0.7292,0.66,5.59,4.93
SMCI,11/2/23,12/2/23,1,0.0574,0.0562,0.0012,0.4088,0.37,3.43,3.06
SMCI,11/2/23,1/2/24,2,0.1194,0.0917,0.0277,0.4088,0.37,3.43,3.06
SMCI,11/2/23,2/2/24,3,1.2731,0.1419,1.1312,0.4088,0.37,3.43,3.06
SMCI,8/9/23,9/9/23,1,0.0128,-0.0009,0.0136,0.6077,0.55,3.51,2.96
SMCI,8/9/23,10/9/23,2,0.0465,-0.0271,0.0736,0.6077,0.55,3.51,2.96
SMCI,8/9/23,11/9/23,3,-0.0442,-0.0236,-0.0205,0.6077,0.55,3.51,2.96
SMCI,5/3/23,6/3/23,1,0.6271,0.0563,0.5709,-0.0884,-0.08,1.63,1.71
SMCI,5/3/23,7/3/23,2,0.827,0.0995,0.7275,-0.0884,-0.08,1.63,1.71
SMCI,5/3/23,8/3/23,3,1.3549,0.112,1.2429,-0.0884,-0.08,1.63,1.71
PYPL,2/5/25,3/5/25,1,-0.1154,-0.0384,-0.0771,1.0657,0.07,1.19,1.12
PYPL,2/5/25,4/5/25,2,-0.1587,-0.072,-0.0867,1.0657,0.07,1.19,1.12
PYPL,2/5/25,5/5/25,3,-0.1587,-0.072,-0.0867,1.0657,0.07,1.19,1.12
PYPL,10/30/24,11/30/24,1,0.0942,0.0596,0.0346,1.9792,0.13,1.2,1.07
PYPL,10/30/24,12/30/24,2,0.0773,0.0379,0.0394,1.9792,0.13,1.2,1.07
PYPL,10/30/24,1/30/25,3,0.1295,0.0676,0.0619,1.9792,0.13,1.2,1.07
PYPL,7/31/24,8/31/24,1,0.109,0.0381,0.071,3.0449,0.2,1.19,0.99
PYPL,7/31/24,9/30/24,2,0.1948,0.0599,0.1349,3.0449,0.2,1.19,0.99
PYPL,7/31/24,10/31/24,3,0.2142,0.0504,0.1638,3.0449,0.2,1.19,0.99
PYPL,5/1/24,6/1/24,1,-0.0596,0.0442,-0.1038,2.7404,0.18,1.4,1.22
PYPL,5/1/24,7/1/24,2,-0.1369,0.0833,-0.2202,2.7404,0.18,1.4,1.22
PYPL,5/1/24,8/1/24,3,-0.0249,0.0787,-0.1036,2.7404,0.18,1.4,1.22
PYPL,2/8/24,3/8/24,1,0.0017,0.021,-0.0193,1.827,0.12,1.48,1.36
PYPL,2/8/24,4/8/24,2,0.1261,0.0382,0.088,1.827,0.12,1.48,1.36
PYPL,2/8/24,5/8/24,3,0.0832,0.0351,0.0481,1.827,0.12,1.48,1.36
PYPL,11/2/23,12/2/23,1,0.0633,0.0562,0.0071,1.0657,0.07,1.3,1.23
PYPL,11/2/23,1/2/24,2,0.0955,0.0917,0.0038,1.0657,0.07,1.3,1.23
PYPL,11/2/23,2/2/24,3,0.1127,0.1419,-0.0292,1.0657,0.07,1.3,1.23
PYPL,8/3/23,9/3/23,1,0.0131,0.0098,0.0033,0,0,1.16,1.16
PYPL,8/3/23,10/3/23,2,-0.0869,-0.0531,-0.0337,0,0,1.16,1.16
PYPL,8/3/23,11/3/23,3,-0.106,-0.0237,-0.0823,0,0,1.16,1.16
PYPL,5/9/23,6/9/23,1,0.0017,0.0413,-0.0396,1.0657,0.07,1.17,1.1
PYPL,5/9/23,7/9/23,2,0.0538,0.0662,-0.0124,1.0657,0.07,1.17,1.1
PYPL,5/9/23,8/9/23,3,-0.0215,0.0837,-0.1052,1.0657,0.07,1.17,1.1
INTC,1/31/25,2/28/25,1,0.2245,-0.006,0.2305,0.1053,0.01,0.13,0.12
INTC,1/31/25,3/31/25,2,0.1718,-0.0614,0.2332,0.1053,0.01,0.13,0.12
INTC,1/31/25,4/30/25,3,0.1378,-0.0587,0.1965,0.1053,0.01,0.13,0.12
INTC,11/1/24,12/1/24,1,0.0679,0.0575,0.0105,2.0014,0.19,0.17,-0.02
INTC,11/1/24,1/1/25,2,-0.1097,0.032,-0.1417,2.0014,0.19,0.17,-0.02
INTC,11/1/24,2/1/25,3,-0.1372,0.0597,-0.1969,2.0014,0.19,0.17,-0.02
INTC,8/2/24,9/2/24,1,0.1029,0.0895,0.0134,-0.8427,-0.08,0.02,0.1
INTC,8/2/24,10/2/24,2,0.1204,0.1029,0.0176,-0.8427,-0.08,0.02,0.1
INTC,8/2/24,11/2/24,3,0.161,0.1071,0.0539,-0.8427,-0.08,0.02,0.1
INTC,4/26/24,5/26/24,1,-0.0164,0.038,-0.0544,0.4213,0.04,0.18,0.14
INTC,4/26/24,6/26/24,2,-0.0222,0.073,-0.0951,0.4213,0.04,0.18,0.14
INTC,4/26/24,7/26/24,3,0.0037,0.0708,-0.0671,0.4213,0.04,0.18,0.14
INTC,1/26/24,2/26/24,1,-0.0165,0.03,-0.0465,0.948,0.09,0.54,0.45
INTC,1/26/24,3/26/24,2,-0.0394,0.0593,-0.0987,0.948,0.09,0.54,0.45
INTC,1/26/24,4/26/24,3,-0.2707,0.0378,-0.3085,0.948,0.09,0.54,0.45
INTC,10/27/23,11/27/23,1,0.2391,0.0936,0.1456,2.0014,0.19,0.41,0.22
